Date,Close/Last,Volume,Open,High,Low
11/17/2014,204.37,80373860,203.85,204.58,203.65
11/14/2014,204.24,80310420,204.1,204.49,203.72
11/13/2014,204.19,84981760,204.16,204.83,203.21
11/12/14,203.96,89957030,203.35,204.24,203.31
11/11/14,204.175,54294510,204.055,204.31,203.65
11/10/14,203.98,65897370,203.38,204.04,203.13
11/07/14,203.34,89443040,203.17,203.5999,202.61
11/06/14,203.15,106715600,202.39,203.26,201.64
11/05/14,202.34,91466110,202.54,202.59,201.45
11/04/14,201.07,93082060,201.23,201.6,200.06
11/03/14,201.77,93478670,201.92,202.45,201.305
10/31/2014,201.66,146697400,201.78,201.82,200.77
10/30/2014,199.38,112825200,197.58,199.95,197.4
10/29/2014,198.11,142224000,198.55,199.12,196.8
10/28/2014,198.41,105847800,196.82,198.42,196.73
10/27/2014,196.16,82747540,195.73,196.45,195.03
10/24/2014,196.43,116715200,195.25,196.49,194.49
10/23/2014,194.93,153664900,194.62,196.2,194.26
10/22/2014,192.69,151377900,194.41,194.91,192.61
10/21/2014,194.07,153368100,191.68,194.2,191.48
10/20/2014,190.3,129429000,188.13,190.45,188.07
10/17/2014,188.47,214147600,188.42,189.75,187.62
10/16/2014,186.27,270110200,183.06,187.58,182.89
10/15/2014,186.43,379972000,185.16,187.694,181.92
10/14/2014,187.7,215226000,188.42,189.82,187.04
10/13/2014,187.4099,221938600,190.46,191.15,187.3
10/10/14,190.54,221531600,192.69,193.65,190.49
10/09/14,192.74,209904000,196.33,196.6,192.58
10/08/14,196.64,186038800,193.37,196.92,192.36
10/07/14,193.26,147546700,195.28,195.72,193.22
10/06/14,196.29,104721100,197.34,197.6,195.582
10/03/14,196.52,120932900,195.68,196.94,195.08
10/02/14,194.38,157161800,194.18,195.055,192.35
10/01/14,194.35,177602400,196.7,196.77,193.91
09/30/2014,197.02,129887300,197.69,198.3,196.61
09/29/2014,197.54,95061580,196.2,197.89,196.05
09/26/2014,197.9,103503900,196.7,198.39,196.42
09/25/2014,196.34,149990800,199.04,199.05,196.27
09/24/2014,199.56,107098000,198.04,199.69,197.52
09/23/2014,198.01,111103600,198.43,199.26,197.95
09/22/2014,199.15,125341100,200.35,200.38,198.73
09/19/2014,200.7,121373900,201.52,201.899,200.29
09/18/2014,201.82,94415600,201.36,201.85,201.1
09/17/2014,200.75,149647200,200.77,201.68,199.75
09/16/2014,200.48,116039000,198.61,200.84,198.5
09/15/2014,198.981,76350030,199.16,199.32,198.38
09/12/14,199.13,117403300,200.1,200.12,198.56
09/11/14,200.3,66733800,199.27,200.33,199.12
09/10/14,200.07,67150040,199.43,200.2,198.77
09/09/14,199.32,88480030,200.41,200.55,198.91
09/08/14,200.59,64103050,200.92,201.21,200
09/05/14,201.11,102010300,200.17,201.19,199.41
09/04/14,200.2101,84993660,200.84,201.58,199.66
09/03/14,200.5,57371000,201.38,201.41,200.22
09/02/14,200.61,71399620,200.97,200.995,199.86
08/29/2014,200.71,65878360,200.45,200.73,199.82
08/28/2014,200.14,58143490,199.59,200.27,199.39
08/27/2014,200.25,47782100,200.43,200.57,199.94
08/26/2014,200.33,47244660,200.33,200.82,200.28
08/25/2014,200.2,63788690,200.14,200.5949,199.1502
08/22/2014,199.19,76052890,199.34,199.69,198.74
08/21/2014,199.5,67740270,199.09,199.76,198.93
08/20/2014,198.92,72595130,198.12,199.16,198.08
08/19/2014,198.39,58938860,197.84,198.54,197.4426
08/18/2014,197.36,75133430,196.8,197.45,196.69
